'Erecoil (keV)'    '68.75 keV inelastic'    'Erecoil (keV)'    'Erecoil (keV)'    'NR average'    'Erecoil (keV)'    '13.26 keV inelastic'    'Erecoil (keV)'    'threshold'    'Erecoil (keV)'    'NR low band'    'Erecoil (keV)'    'NR high band'    'Erecoil (keV)'
135.758            0.674936                 108.533            0.371604           98.8941         0.442405           34.8829                  0.085609           109.349        0.30687            52.2438          0.406535           9.34769           0.45596
136.466            0.673499                 109.573            0.371957           100.033         0.442182           36.6514                  0.0815987          110.376        0.307607           53.9216          0.407388           9.67882           0.474513
137.174            0.67208                  110.61             0.37262            101.171         0.441972           38.4423                  0.0778273          111.405        0.308102           55.5995          0.408245           10.031            0.493034
137.883            0.670678                 111.648            0.373277           102.31          0.441773           40.2526                  0.0742914          112.433        0.308591           57.2777          0.409108           10.4053           0.51152
138.593            0.669293                 112.685            0.373928           103.449         0.441587           42.079                   0.0709875          113.455        0.309638           58.956           0.409976           10.829            0.529968
139.303            0.667925                 113.723            0.374574           104.588         0.441412           43.9186                  0.0679121          114.482        0.31021            60.6345          0.410849           11.3136           0.548359
140.013            0.666574                 114.761            0.375215           105.726         0.441248           45.7681                  0.065062           115.512        0.310544           62.313           0.411729           11.8201           0.56672
140.724            0.66524                  115.799            0.37585            106.865         0.441095           47.6244                  0.0624335          116.538        0.31127            63.9916          0.412615           12.3312           0.585076
141.435            0.663922                 116.837            0.376481           108.004         0.440953           49.4845                  0.0600234          117.565        0.311987           65.6703          0.413509           12.895            0.603357
142.147            0.66262                  117.874            0.377106           109.143         0.440822           51.3452                  0.0578282          118.592        0.312697           67.3489          0.41441            13.5186           0.621532
142.86             0.661335                 118.912            0.377726           110.282         0.440701           53.2034                  0.0558445          119.619        0.313399           69.0275          0.415319           14.2089           0.63957
143.573            0.660065                 119.95             0.378341           111.42          0.440591           55.056                   0.0540688          120.646        0.314094           70.706           0.416236           14.9731           0.65744
144.286            0.658811                 120.988            0.37895            112.559         0.440491           56.8998                  0.0524977          121.673        0.31478            72.3844          0.417161           15.8184           0.675109
