'Erecoil (keV)'    'Yield'
26.2828            0.338816
103.591            1.02472
105.79             0.983271
132.693            1.00975
102.851            1.04173
24.5231            0.36633
187.336            0.999249
183.938            0.997085
172.786            0.908112
189.255            0.881754
14.0911            1.1759
147.521            1.04576
153.998            0.940935
82.4442            1.06072
156.318            1.05122
28.6413            0.297654
138.409            0.976059
11.1716            0.9251
43.1914            0.327149
28.8009            0.569468
13.8106            0.229688
192.333            1.05438
70.6718            1.05641
162.193            0.970589
156.318            0.974903
51.266             0.375973
30.838             0.299665
65.6764            0.9919
189.376            1.01609
73.8907            0.938908
54.9429            1.02876
18.9667            0.285843
84.0432            1.0014
82.4442            0.993915
164.711            0.945257
132.812            1.03308
70.5331            0.988724
27.6211            0.313478
85.6432            0.385465
30.1205            0.320671
13.091             0.305996
146.483            1.04056
143.406            0.99925
147.222            0.388633
58.021             0.956914
93.4361            0.805609
7.05443            1.46603
23.6437            0.298502
165.431            0.986422
54.5038            1.02875
27.4815            0.451982
54.5037            1.01838
17.3289            0.372799
196.891            0.998236
16.4485            0.277482
18.2072            0.302822
62.4586            0.365316
30.8379            0.311179
85.8029            1.03624
167.789            0.99824
47.9073            0.986422
31.2792            0.332482
198.369            1.12091
147.083            0.971744
25.4024            0.329322
33.0567            0.271151
129.294            0.962229
11.3324            0.30283
43.931             0.989599
24.2425            0.967426
123.698            1.02789
96.5165            0.973765
56.5828            0.979235
4.55627            1.30621
16.1691            0.40764
131.493            0.936915
17.768             0.332478
22.4839            0.266832
42.3132            1.04055
155.596            1.02358
32.1785            0.183331
185.857            1.05006
17.6472            0.196847
78.6066            1.05122
175.144            1.03942
77.2893            1.02875
93.5969            0.805606
56.7015            0.274323
10.2922            1.16755
16.7679            0.226512
124.018            1.03308
43.3522            0.324994
85.203             0.934596
39.9536            0.323981
59.3605            1.06158
200.247            1.02357
29.0804            0.22018
165.151            1.04373
185.738            1.06907
146.483            0.935745
200.127            1.0829
190.715            0.94958
156.917            1.01292
18.2071            0.273159
126.935            1.04488
26.2828            0.357821
27.7609            0.20867
31.7183            0.310325
47.9073            0.323984
40.5535            0.279502
17.768             0.281513
71.2539            0.997081
135.471            0.973757
141.206            1.02674
70.8126            0.972896
22.6447            0.28584
14.6899            0.314346
21.1655            0.337668
186.456            1.04259
199.369            1.05842
119.021            1.01924
26.4425            0.275181
99.9129            1.04893
20.1255            0.238333
17.2081            1.06073
97.9946            1.02041
65.2362            1.12724
22.3242            1.19189
7.49354            0.585322
140.767            1.02992
63.1782            0.291159
42.0327            0.283814
193.932            1.02242
51.1462            1.07758
93.597             1.06274
24.9622            0.222485
118.861            1.07541
180.3              1.0659
8.53364            0.422325
109.747            0.321831
164.272            1.20873
100.954            1.03308
177.503            1.15806
39.9536            0.313471
38.9535            0.219318
26.4424            0.304841
122.539            1.01521
36.8755            1.04056
134.292            0.396979
188.497            1.01838
22.4839            0.349473
152.798            1.01839
34.2365            0.329315
16.8887            0.206506
174.705            1.01406
13.091             0.343133
97.1153            0.385479
46.2695            0.299659
17.3289            0.309159
63.8968            1.05323
161.193            1.02877
35.1169            0.904933
31.2792            0.308014
103.591            0.916738
48.9274            0.323993
46.1498            0.99506
137.81             1.07224
40.9926            0.988731
28.8009            0.343125
24.0829            0.263666
13.5301            0.404476
171.187            1.02992
118.7              0.897747
21.0059            0.278348
92.1199            0.81626
15.5692            0.335653
68.7734            1.03208
150.439            1.05526
117.701            1.05843
194.092            1.01609
17.9277            0.281513
200.127            1.01206
112.824            1.0066
48.0282            0.278348
65.376             0.302826
33.5179            0.265684
32.0387            0.297643
26.2828            1.26374
66.1355            0.392674
190.715            1.09442
17.7681            0.183327
44.8303            0.332478
178.964            0.985562
160.434            1.04258
58.1807            1.00026
113.424            0.979239
29.0804            0.354658
21.445             0.293335
87.4218            0.970589
189.536            1.00658
141.786            1.05209
163.23             1.0279
16.7679            0.186481
188.656            1.0279
62.1382            0.299669
18.3679            0.304845
150.159            1.05324
44.8303            0.25099
42.7512            0.345157
42.3132            0.312317
23.524             0.175838
52.5855            0.391804
21.7444            0.179006
24.2426            0.305999
110.186            1.03107
19.846             0.26367
93.7577            1.02674
66.416             1.02041
23.8045            0.267989
15.7289            1.00975
20.8451            0.276336
95.6372            1.00975
21.7444            0.252006
96.236             0.985577
23.6437            0.239187
19.5256            0.210678
16.7679            0.379995
47.5891            1.06792
147.683            1.02041
19.2462            0.331339
100.632            0.996077
134.889            1.03625
21.0058            0.230833
47.1489            0.297654
74.9297            0.925093
151.479            1.02042
27.181             0.680621
132.973            1.04692
97.2749            1.04489
161.472            1.02358
31.5996            0.357814
29.0804            0.245664
13.6498            0.255327
52.0255            1.26805
91.2406            0.889099
32.0387            1.03739
44.2315            1.22054
44.0718            0.379996
193.652            1.12004
45.7096            0.280657
161.634            1.00255
170.866            1.02242
29.0804            0.26568
19.4069            0.339978
17.2081            0.300815
17.6472            0.207507
26.0022            0.192828
189.095            1.0161
162.793            1.08405
115.623            0.992905
175.744            1.10076
8.53366            0.71029
98.295             1.00658
14.5302            0.221337
29.9608            0.296485
128.855            1.03525
184.397            0.989609
16.6082            0.334497
158.555            1.01092
50.1061            0.986433
93.1568            0.38232
182.18             0.985577
21.1655            0.934596
58.3415            0.314346
155.596            0.982404
24.0829            0.225655
102.851            0.777097
55.983             0.350343
112.106            0.335646
158.555            1.04374
23.0848            0.192817
92.2774            1.01206
118.422            1.17592
163.672            0.966557
157.516            0.99075
174.984            0.988724
102.392            0.951592
124.598            0.980096
153.238            0.987588
42.912             1.06389
184.697            1.03525
82.7237            0.999245
32.6176            0.246673
40.273             0.240346
18.9667            0.204353
131.493            0.993926
40.1133            1.01293
145.163            0.395843
8.53364            1.39086
78.6066            0.940932
62.0184            1.01926
173.066            1.03626
181.621            0.0286791
16.8888            0.318662
23.2036            0.217013
162.193            0.966557
34.3972            0.328168
36.8755            0.246673
22.484             0.302829
149.122            1.04258
26.0022            0.303987
14.6899            0.364165
54.5038            0.403315
51.5853            1.04373
26.163             0.357818
6.77502            1.00572
13.0909            0.481642
9.99288            1.18022
23.2036            0.236016
53.1843            0.363151
98.8728            0.996081
11.7714            0.992909
20.4059            0.235155
168.669            0.938915
20.2862            1.02674
27.6212            0.230833
189.836            1.00026
22.4839            0.266832
19.846             0.322991
122.98             1.04691
26.163             0.203182
29.6802            0.204342
92.7166            1.0639
20.2862            0.176992
26.2828            0.232849
160.871            0.926261
34.2365            0.286985
31.7183            0.586473
8.53364            1.13271
190.715            1.08491
105.349            0.970589
55.9829            1.13358
47.3085            0.372802
36.595             0.311176
20.5656            0.298498
148.562            0.947271
14.0911            0.278345
173.526            1.05323
153.838            1.10306
156.318            1.00888
184.099            0.990739
178.964            1.03106
52.1453            0.318662
93.597             0.955914
180.42             1.04806
14.5302            0.297654
187.336            1.09356
132.532            1.0564
37.7548            0.253008
173.825            1.04258
70.0929            0.960084
15.129             0.323992
